Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Сунят,"9 апреля 2025, отредактирован",.,3,Казахстанско-Российский Медицинский университет,4.5,1124
Ramazan Bolat,"8 апреля 2025, отредактирован","Столовка в дизайне стала лучше, а в качестве еды и цен просела",3,Казахстанско-Российский Медицинский университет,4.5,1124
sayatt .,8 апреля 2025,"овсяная каша и блинчик с творогом зачет, над рисовой кашей нужно чутька поработать",4,Казахстанско-Российский Медицинский университет,4.5,1124
Rajneesh Tiwari,5 апреля 2025,It's great to be a part of this university . Teachers are very supportive and experienced . They always helping and supporting nature🏥.,5,Казахстанско-Российский Медицинский университет,4.5,1124
El Doos,3 апреля 2025,Крму практика жағынан мықты💕,5,Казахстанско-Российский Медицинский университет,4.5,1124
Fill Mary,2 апреля 2025,"Хочу выразить искреннюю благодарность и глубокое уважение к заместителю декана Сыздыковой Азизе Биржановне. Это не просто человек, занимающий ответственную должность, а настоящий профессионал своего дела, обладающий удивительным сочетанием мудрости, справедливости и человечности.
Она всегда открыта для каждого студента – будь то вопрос по учебе, сложная ситуация или даже просто совет, необходимый в жизни.

Она умеет выслушать и найти подход к каждому. Её справедливость, честность и открытость создают атмосферу доверия, которая так важна в студенческом сообществе.

Очень благодарна за Вашу доброжелательность, мудрость и поддержку.

Спасибо за ваш труд, внимание и заботу!
Вы лучшая ❤️",5,Казахстанско-Российский Медицинский университет,4.5,1124
Ayazhan Asan,"1 апреля 2025, отредактирован","Фармакология кафедрасы Нургалиева Жансулу апайға алғысымыз шексіз!Өте білімді оқытушы,сіздің бізге беріп жатқан біліміңізге рахмет♥️1 жылда сіздің арқаныңызда көп нәрсе үйрендік.Рахмет сізге,бізде сіздей оқытушылардың барына қуанамыз🥹🫶🏻",5,Казахстанско-Российский Медицинский университет,4.5,1124
Alexey Smirnov,"29 марта 2025, отредактирован",хорошие учителя,5,Казахстанско-Российский Медицинский университет,4.5,1124
Alima Ali,20 марта 2025,"Здравствуйте! Благодарю студентов университета за угощения, которые они раздают на светофоре для постящихся! Пусть Аллах вознаградит всеми благами за вашу доброту!",5,Казахстанско-Российский Медицинский университет,4.5,1124
Zakon V Zakone,"19 марта 2025, отредактирован","Это не университет , а шарага . Один хуже другого, что в деканате , что в универе . В деканате по факту все рассказал, сделали так что я не прав . Учителя есть достойные , есть гнилые , которым давно надо в отставку . Мне жаль денег которые плотят мои родители, этим @слам чтобы они с нами так общались , и ни к чему не научили. Декан вообще существует в этом универе? Нет бы провести какие-то работы с учениками, хотя бы в два месяца раз поинтересуйтесь кого что беспокоит кто чем не доволен. И касательно туалетных бумаг , год заканчивается а я еще не разу не видел их . Учителя блокируют студентов по вацапу чтобы они не надоели им. Просто отстой 0! И на счет зам Декан подумайте, пусть пройдет экзамен по своей специальности, прежде чем там сидеть , и выгонять словами( я ничем не могу помочь) Корупционеры , и не пишите мне тут ФИО , свои данные , и группу , толку ? Вас б@ранов уже ничего не исправит . Накипело уже все , достали!",5,Казахстанско-Российский Медицинский университет,4.5,1124
Shumakher Eshe-Tot-Ya,18 марта 2025,"Не поступайте сюда , просто с вами будут обращаться как со стенкой . Особенно в деканате. Свинарник чистый ! За эти деньги лучше куда нибудь в другой универ. Это моя самая большая ошибка , то что я сюда поступил. Хотя учусь на 4-5. Декана еще не разу не видел , кроме одного раза и то на линейке . Им по барабану какие у вас проблемы в универе, и тд. Так что подумайте хорошенько , стоит ли оно этого .",1,Казахстанско-Российский Медицинский университет,4.5,1124
Apple User,17 марта 2025,"Самая позорная медицинская шарага. Вопросы в тест центрах ставят не по теме и процентов 50 из них мы не проходили на самих занятиях. Всегда ходишь в неведении до последнего момента. Все расписания и все новости приходят в самый последний момент. Могут поставить расписание, где ты 10 часов находишься в универе и в этот же день сдаешь тест. На жалобы студентов они чхать хотели и вместо того чтобы решать проблемы, просто запугивают студентов и запрещают писать негативные отзывы. Да и по теме отзывов хочу сказать, что в КРМУ Фэмили участники этой секты удаляют негативные отзывы и пишут хорошие.
Многие преподы неадекватные и ставят оценки не по знаниям, а по тому, как ты умеешь подлизываться и на сколько ты им понравился. Я еще промолчу как в тест центре на тебя орут и заставляют завершать тест через 20 минут после его начала (видите ли, проверяющие устали). Так еще тебя лапают там же на наличие телефона или микронаушника.
На самом деле очень жалею, что поступил сюда, а не в любой другой универ.",1,Казахстанско-Российский Медицинский университет,4.5,1124
aigerim turasheva,11 марта 2025,417 Б не уважает женщин я была на приеме у Талеген Достонджон Серикханулы послал меня куда подальше минус аура минус вайб минус лайки катынымды алып кетти,5,Казахстанско-Российский Медицинский университет,4.5,1124
ainara s,7 марта 2025,"элпешка тут учится, поэтому оценка пять звезд, не обижайте её 🤪",5,Казахстанско-Российский Медицинский университет,4.5,1124
Asel S,"28 февраля 2025, отредактирован",Здесь учителя хорошие но чего то не хватает!,4,Казахстанско-Российский Медицинский университет,4.5,1124
Жанел Мухан,"27 февраля 2025, отредактирован",Примити меры касательно гардероба.Там бардак и каждый раз проблемы!!!,2,Казахстанско-Российский Медицинский университет,4.5,1124
Ильяс Шагбанов,"26 февраля 2025, отредактирован","Моя девушка тут учится , чисто сол ушин 5 звезд , универдын сәнімен көркіғо",5,Казахстанско-Российский Медицинский университет,4.5,1124
Санжар Рысбек,"21 февраля 2025, отредактирован","Салеметсіздерме!
Университет кіре берген жерде күзетшілерге салем берсек жауап бермейді және қазақша сұрасан орысша жауап береді, бір ағай қазақша мүлдем түсінбейді. Ескерудеріңізді сұраймын 🥰🥰!!",3,Казахстанско-Российский Медицинский университет,4.5,1124
Диана Балтабаева,17 февраля 2025,"Люблю этот университет, но почему гардеробщицы злые??! Уборщицы тоже злые! Решите эту проблему пожалуйста.",4,Казахстанско-Российский Медицинский университет,4.5,1124
N A,"12 февраля 2025, отредактирован",Мугалимдери оте керемет билим береди,5,Казахстанско-Российский Медицинский университет,4.5,1124
Рамиль Изимов,12 февраля 2025,Отлично супер,5,Казахстанско-Российский Медицинский университет,4.5,1124
Акжуныс Бакытжан,10 февраля 2025,🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻,5,Казахстанско-Российский Медицинский университет,4.5,1124
Bibarys 🌊,4 февраля 2025,"Студенттік өмірі расымен бар, артық қинамайды график шүкір басқа мед универлерінен қарағанда",5,Казахстанско-Российский Медицинский университет,4.5,1124
Rami Sataeva,"28 января 2025, отредактирован","Поменяйте гардеробщиц, безответственные, невнимательные, злые, медленные, целый день теряли куртки искали по минут 40! В очередях стоим также, приходим пораньше на пары, все равно опаздываем) Это ужасно, администрация примите меры, срочно!",3,Казахстанско-Российский Медицинский университет,4.5,1124
Фари Фари,"28 января 2025, отредактирован","Айман апай,Нариман ағай, Асылзат апай, Сымбат апай топппппп🔥🔥🔥🔥Ең керемет,өте білімді ұстаздар😘",5,Казахстанско-Российский Медицинский университет,4.5,1124
Amna Ismail,"16 января 2025, отредактирован",Yes I hate it,1,Казахстанско-Российский Медицинский университет,4.5,1124
Луиза Сарсенова,"9 января 2025, отредактирован","Офтальмология кафедрасының оқытушыларына көөп рахмет!!! Имадиева Айшолпан Мұхтарқызы, Кенжебек Бауыржан Бақытжанович сынды білікті мамандардың арқасында сапалы білім мен мол тәжірибеге ие болдық🤩🫶🏻",5,Казахстанско-Российский Медицинский университет,4.5,1124
Азамат Ермекбай,9 января 2025,Офтальмология кафедрасы Имадиева Айшолпан Мұхтарқызы сізге үлкенн рахмет 🤍 Өзіңіздегі бар білімді тәжірибеңізбен бөлісе отырып бізге офтальмологияның негізін үйретіп қызығушылығымызды арттырғаныңыз үшін алғысымыз шексіз 🫰,5,Казахстанско-Российский Медицинский университет,4.5,1124
ILINUR 🌀,31 декабря 2024,Фармакологиядан беретін Гүлсәуле апай и Нурлан агай по хирургии самые лучшие преподаватели. Умеют оценивать честно и самое главное не подавляют мотивацию учиться дальше. Респект вам и большое спасибо!!!,5,Казахстанско-Российский Медицинский университет,4.5,1124
Сая Бижаксынова,"28 декабря 2024, отредактирован",Проблема с парковкой,1,Казахстанско-Российский Медицинский университет,4.5,1124
аяу сиаевна,24 декабря 2024,Здравствуйте студенты КРМУ. Я в 10 классе и хочу стать нейрохирургом (или же невропатологом). Стоит ли идти в этот универ? Есть ли русское отделение? Напишите в инст @f4buleux,5,Казахстанско-Российский Медицинский университет,4.5,1124
akzhunis 💘,22 декабря 2024,гисто нариман агай 😍🔥,5,Казахстанско-Российский Медицинский университет,4.5,1124
Nurik tik,17 декабря 2024,Университет мечты,5,Казахстанско-Российский Медицинский университет,4.5,1124
Artyom Abramov,"14 декабря 2024, отредактирован",Alma Mater,5,Казахстанско-Российский Медицинский университет,4.5,1124
Мадина Нурмуханбетова,2 декабря 2024,"Хочу выразить огромную благодарность Нурлану Дуйсенову за его невероятный профессионализм, терпение и преданность своему делу. Его подход к обучению сочетает в себе строгость и поддержку, что создает идеальные условия для развития студентов.

Каждая лекция или практическое занятие с ним — это не просто изучение материала, а глубокое погружение в суть хирургии. Он умело объясняет сложные темы, используя понятные примеры и всегда готов разъяснить моменты, которые вызывают вопросы.

Отдельно хочется отметить его человеческие качества. Нурлан Дуйсенов не просто учит нас быть хирургами, но и воспитывает в нас чувство ответственности и уважения к пациентам. Его поддержка и мотивация вдохновляют работать над собой и стремиться к лучшему.

С таким преподавателем действительно хочется учиться, расти и становиться профессионалом в своей области. Спасибо за всё, что вы делаете для своих студентов!",5,Казахстанско-Российский Медицинский университет,4.5,1124
jitendra chaneja,"2 декабря 2024, отредактирован",Please never take admission in this college they will irritate you to do take photos send photos to dean and pick video call likes that irritate to teacher also and for students also,1,Казахстанско-Российский Медицинский университет,4.5,1124
Arailym Abdillaeva,30 ноября 2024,Өте керемет😍,5,Казахстанско-Российский Медицинский университет,4.5,1124
Базаргуль,"30 ноября 2024, отредактирован","Здесь преподают самые добросовестные,образованные,опытные преподаватели!!!",5,Казахстанско-Российский Медицинский университет,4.5,1124
Era r?,"28 ноября 2024, отредактирован",Лучшый университет,5,Казахстанско-Российский Медицинский университет,4.5,1124
Gulzhan ✨🌙,"27 ноября 2024, отредактирован",Это просто потрясающий универ который очень хочу поступить 😍😍😍,5,Казахстанско-Российский Медицинский университет,4.5,1124
Valeriya Vlasova,"26 ноября 2024, отредактирован",поступлю!❤️,5,Казахстанско-Российский Медицинский университет,4.5,1124
📌 haz1ev,"25 ноября 2024, отредактирован","четко все,жаль лифт не доступен",5,Казахстанско-Российский Медицинский университет,4.5,1124
Аделия Уразалиева,23 ноября 2024,"Очень хороший университет, хотела бы чтобы доча поступила именно в этот университет",5,Казахстанско-Российский Медицинский университет,4.5,1124
S V🤌,"21 ноября 2024, отредактирован",Лучший медицинский университет,5,Казахстанско-Российский Медицинский университет,4.5,1124
Darin Aitmukhambet,19 ноября 2024,Там учится моя сестра. Кайф,5,Казахстанско-Российский Медицинский университет,4.5,1124
🤘 💔,17 ноября 2024,Большой и красивый университет. Понравился кабинет анатомии,5,Казахстанско-Российский Медицинский университет,4.5,1124
Kaisar Yertay,15 ноября 2024,"Слишком долго работает гардероб, и на лестницах вечно пробки из людей!",3,Казахстанско-Российский Медицинский университет,4.5,1124
Ясмина Имашова,"14 ноября 2024, отредактирован",Казына апай микробиология кафедрасы😍😍😍😍Отеее куштыыы апааай 😍😍😍Красоткаааа😍😍,5,Казахстанско-Российский Медицинский университет,4.5,1124
Shirinkhan Tagai,14 ноября 2024,"Сайлаубек Қазына Хамзатқызы, Микробиология Иммунология кафедрасының завучі өте керемет апай 🔥🔥🔥 сабақты өте керем және қызықты өтеді 🔥😍",5,Казахстанско-Российский Медицинский университет,4.5,1124
Ақжүніс Оразова,14 ноября 2024,"Микробиология кафедрасындағы Қазына апай лучшая🫶🏻🫶🏻
Сабаққа деген желаниені ашып жібереді❤️",5,Казахстанско-Российский Медицинский университет,4.5,1124
Не указано,12 июня 2023,"Универ хороший, почитав комментарии немного в шоке от них! Никогда за мою учебу не было плохого отношения ко мне. Все преподаватели и сотрудники очень приветливые, отзывчивые и профессионалы своего дела. На пары ходить было одно удовольствие.
Много пишут что к ним относились грубо, могли что то не так сказать и.т.д скорее всего вы сами позволяли себе относится не уважительно к преподавателям, а там уж извините какой привет такой ответ)
Еще не раз не пожалела что поступила сюда, и закончила его👍🏻",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
